Geneid	symbol	DMSO_express	IBR_express	RES_express
ENSG00000012061	ERCC1	TRUE	TRUE	TRUE
ENSG00000012124	CD22	TRUE	TRUE	TRUE
ENSG00000012171	SEMA3B	FALSE	FALSE	FALSE
ENSG00000012174	MBTPS2	TRUE	TRUE	TRUE
ENSG00000012211	PRICKLE3	TRUE	TRUE	TRUE
ENSG00000012223	LTF	FALSE	FALSE	FALSE
ENSG00000012232	EXTL3	TRUE	FALSE	TRUE
ENSG00000012504	NR1H4	FALSE	FALSE	FALSE
ENSG00000012660	ELOVL5	TRUE	TRUE	TRUE
ENSG00000012779	ALOX5	TRUE	TRUE	TRUE
ENSG00000012817	KDM5D	TRUE	TRUE	TRUE
ENSG00000012822	CALCOCO1	TRUE	TRUE	TRUE
ENSG00000012963	UBR7	TRUE	TRUE	TRUE
ENSG00000012983	MAP4K5	TRUE	TRUE	TRUE
ENSG00000013016	EHD3	TRUE	TRUE	FALSE
ENSG00000013275	PSMC4	TRUE	TRUE	TRUE
ENSG00000013288	MAN2B2	TRUE	TRUE	FALSE
ENSG00000013293	SLC7A14	FALSE	FALSE	FALSE
ENSG00000013297	CLDN11	FALSE	FALSE	FALSE
ENSG00000013306	SLC25A39	TRUE	TRUE	TRUE
ENSG00000013364	MVP	FALSE	FALSE	FALSE
ENSG00000013374	NUB1	TRUE	TRUE	TRUE
ENSG00000013375	PGM3	TRUE	TRUE	TRUE
ENSG00000013392	RWDD2A	TRUE	TRUE	FALSE
ENSG00000013441	CLK1	TRUE	TRUE	TRUE
ENSG00000013503	POLR3B	TRUE	TRUE	TRUE
ENSG00000013523	ANGEL1	TRUE	TRUE	TRUE
ENSG00000013561	RNF14	TRUE	TRUE	TRUE
ENSG00000013563	DNASE1L1	TRUE	TRUE	TRUE
ENSG00000013573	DDX11	TRUE	TRUE	TRUE
ENSG00000013583	HEBP1	TRUE	TRUE	TRUE
ENSG00000013588	GPRC5A	FALSE	FALSE	FALSE
ENSG00000013619	MAMLD1	FALSE	FALSE	FALSE
ENSG00000013725	CD6	FALSE	FALSE	FALSE
ENSG00000013810	TACC3	TRUE	TRUE	TRUE
ENSG00000014123	UFL1	TRUE	TRUE	TRUE
ENSG00000014138	POLA2	TRUE	TRUE	TRUE
ENSG00000014164	ZC3H3	TRUE	TRUE	TRUE
ENSG00000014216	CAPN1	TRUE	TRUE	TRUE
ENSG00000014257	ACPP	TRUE	TRUE	TRUE
ENSG00000014641	MDH1	TRUE	TRUE	TRUE
ENSG00000014824	SLC30A9	TRUE	TRUE	TRUE
ENSG00000014914	MTMR11	FALSE	FALSE	FALSE
ENSG00000014919	COX15	TRUE	TRUE	TRUE
ENSG00000015133	CCDC88C	TRUE	TRUE	TRUE
ENSG00000015153	YAF2	TRUE	TRUE	TRUE
ENSG00000015171	ZMYND11	TRUE	TRUE	TRUE
ENSG00000015285	WAS	TRUE	TRUE	TRUE
ENSG00000015413	DPEP1	FALSE	FALSE	FALSE
ENSG00000015475	BID	TRUE	TRUE	TRUE
ENSG00000015479	MATR3	TRUE	TRUE	TRUE
ENSG00000015520	NPC1L1	FALSE	FALSE	FALSE
ENSG00000015532	XYLT2	TRUE	TRUE	TRUE
ENSG00000015568	RGPD5	FALSE	FALSE	FALSE
ENSG00000015592	STMN4	FALSE	FALSE	FALSE
ENSG00000015676	NUDCD3	TRUE	TRUE	TRUE
ENSG00000016082	ISL1	FALSE	FALSE	FALSE
ENSG00000016391	CHDH	FALSE	FALSE	FALSE
ENSG00000016402	IL20RA	FALSE	FALSE	FALSE
ENSG00000016490	CLCA1	FALSE	FALSE	FALSE
ENSG00000016602	CLCA4	FALSE	FALSE	FALSE
ENSG00000016864	GLT8D1	TRUE	TRUE	TRUE
ENSG00000017260	ATP2C1	TRUE	TRUE	TRUE
ENSG00000017373	SRCIN1	FALSE	FALSE	FALSE
ENSG00000017427	IGF1	FALSE	FALSE	FALSE
ENSG00000017483	SLC38A5	TRUE	FALSE	TRUE
ENSG00000017621	MAGIX	FALSE	FALSE	FALSE
ENSG00000017797	RALBP1	TRUE	TRUE	TRUE
ENSG00000018189	RUFY3	TRUE	TRUE	TRUE
ENSG00000018236	CNTN1	FALSE	FALSE	FALSE
ENSG00000018280	SLC11A1	FALSE	FALSE	FALSE
ENSG00000018408	WWTR1	FALSE	FALSE	FALSE
ENSG00000018510	AGPS	TRUE	TRUE	TRUE
ENSG00000018607	ZNF806	FALSE	FALSE	FALSE
ENSG00000018610	CXorf56	TRUE	TRUE	TRUE
ENSG00000018625	ATP1A2	FALSE	FALSE	FALSE
ENSG00000018699	TTC27	TRUE	TRUE	TRUE
ENSG00000018869	ZNF582	FALSE	TRUE	TRUE
ENSG00000019102	VSIG2	FALSE	FALSE	FALSE
ENSG00000019144	PHLDB1	FALSE	FALSE	FALSE
ENSG00000019169	MARCO	FALSE	FALSE	FALSE
ENSG00000019186	CYP24A1	FALSE	FALSE	FALSE
ENSG00000019485	PRDM11	FALSE	FALSE	FALSE
ENSG00000019505	SYT13	FALSE	FALSE	FALSE
ENSG00000019549	SNAI2	FALSE	FALSE	FALSE
ENSG00000019582	CD74	TRUE	TRUE	TRUE
ENSG00000019991	HGF	FALSE	FALSE	FALSE
ENSG00000019995	ZRANB1	TRUE	TRUE	TRUE
ENSG00000020129	NCDN	TRUE	TRUE	TRUE
ENSG00000020181	GPR124	FALSE	FALSE	FALSE
ENSG00000020219	CCT8L1P	FALSE	FALSE	FALSE
ENSG00000020256	ZFP64	TRUE	TRUE	TRUE
ENSG00000020426	MNAT1	TRUE	TRUE	TRUE
ENSG00000020577	SAMD4A	FALSE	FALSE	FALSE
ENSG00000020633	RUNX3	TRUE	TRUE	TRUE
ENSG00000020922	MRE11A	TRUE	TRUE	TRUE
ENSG00000021300	PLEKHB1	FALSE	FALSE	FALSE
ENSG00000021355	SERPINB1	TRUE	TRUE	FALSE
ENSG00000021461	CYP3A43	FALSE	FALSE	FALSE
ENSG00000021488	SLC7A9	FALSE	FALSE	FALSE
ENSG00000021574	SPAST	TRUE	TRUE	TRUE
ENSG00000021645	NRXN3	FALSE	FALSE	FALSE
ENSG00000021762	OSBPL5	FALSE	FALSE	FALSE
ENSG00000021776	AQR	TRUE	TRUE	TRUE
ENSG00000021826	CPS1	FALSE	FALSE	FALSE
ENSG00000021852	C8B	FALSE	FALSE	FALSE
ENSG00000022267	FHL1	TRUE	TRUE	TRUE
ENSG00000022277	RTFDC1	TRUE	TRUE	TRUE
ENSG00000022355	GABRA1	FALSE	FALSE	FALSE
ENSG00000022556	NLRP2	TRUE	TRUE	TRUE
ENSG00000022567	SLC45A4	TRUE	FALSE	TRUE
ENSG00000022840	RNF10	TRUE	TRUE	TRUE
ENSG00000022976	ZNF839	TRUE	TRUE	TRUE
ENSG00000023041	ZDHHC6	TRUE	TRUE	TRUE
ENSG00000023171	GRAMD1B	FALSE	FALSE	FALSE
ENSG00000023191	RNH1	TRUE	TRUE	TRUE
ENSG00000023228	NDUFS1	TRUE	TRUE	TRUE
ENSG00000023287	RB1CC1	TRUE	TRUE	TRUE
ENSG00000023318	ERP44	TRUE	TRUE	TRUE
ENSG00000023330	ALAS1	TRUE	TRUE	TRUE
ENSG00000023445	BIRC3	TRUE	TRUE	TRUE
ENSG00000023516	AKAP11	TRUE	TRUE	TRUE
ENSG00000023572	GLRX2	TRUE	TRUE	TRUE
ENSG00000023608	SNAPC1	TRUE	TRUE	TRUE
ENSG00000023697	DERA	TRUE	TRUE	TRUE
ENSG00000023734	STRAP	TRUE	TRUE	TRUE
ENSG00000023839	ABCC2	FALSE	FALSE	FALSE
ENSG00000023892	DEF6	TRUE	TRUE	TRUE
ENSG00000023902	PLEKHO1	TRUE	TRUE	TRUE
ENSG00000023909	GCLM	TRUE	TRUE	TRUE
ENSG00000024048	UBR2	TRUE	TRUE	TRUE
ENSG00000024422	EHD2	FALSE	FALSE	FALSE
ENSG00000024526	DEPDC1	TRUE	TRUE	TRUE
ENSG00000024862	CCDC28A	TRUE	TRUE	TRUE
ENSG00000025039	RRAGD	TRUE	TRUE	TRUE
ENSG00000025156	HSF2	TRUE	TRUE	TRUE
ENSG00000025293	PHF20	TRUE	TRUE	TRUE
ENSG00000025423	HSD17B6	TRUE	TRUE	TRUE
ENSG00000025434	NR1H3	FALSE	FALSE	FALSE
ENSG00000025708	TYMP	FALSE	FALSE	FALSE
ENSG00000025770	NCAPH2	TRUE	TRUE	TRUE
ENSG00000025772	TOMM34	TRUE	TRUE	TRUE
ENSG00000025796	SEC63	TRUE	TRUE	TRUE
ENSG00000025800	KPNA6	TRUE	TRUE	TRUE
ENSG00000026025	VIM	TRUE	TRUE	TRUE
ENSG00000026036	RTEL1-TNFRSF6B	TRUE	TRUE	TRUE
ENSG00000026103	FAS	TRUE	FALSE	FALSE
ENSG00000026297	RNASET2	TRUE	TRUE	TRUE
ENSG00000026508	CD44	TRUE	TRUE	TRUE
ENSG00000026559	KCNG1	FALSE	FALSE	FALSE
